step,t,label,index,x,Cf,H12,dstar,theta,delta99,Ue
100,0.025000000000000001,x=0.25,177,0.25008042895442362,0.0021674843413700398,2.5914109969369177,0.005274732026880273,0.0020354671771923003,0.015050956286805722,0.99999568672913586
100,0.025000000000000001,x=0.50,353,0.50016085790884723,0.0019273854206190027,2.591334473558264,0.0059352900670764652,0.0022904376596844648,0.016936189724302102,0.99999813100338897
100,0.025000000000000001,x=0.75,529,0.75024128686327074,0.0017529223567608581,2.5912855864451396,0.006529363622627106,0.0025197391043201944,0.018631209737272003,0.99999947444307102
100,0.025000000000000001,x=1.00,705,1.0003217158176945,0.0016187678168975066,2.5912518215465838,0.0070737233572381901,0.0027298479053325859,0.020184382817127183,1.0000002129128567
100,0.025000000000000001,x=1.20,846,1.2006702412868633,0.0015310934356270144,2.5912314205185214,0.007481308984400371,0.0028871635798948885,0.021347331725330331,1.0000005878229752
100,0.025000000000000001,x_safe,979,1.389651474530831,0.0014602633103632454,2.591214932127631,0.007846398389152482,0.0030280770197282907,0.022388363960193499,1.0000006817662361
100,0.025000000000000001,xt,33,0.04546916890080429,0.0024497116824232011,2.5915093896892856,0.0046651661210685364,0.0018001733428517023,0.013311255143499212,0.99999885680088696
200,0.050000000000000003,x=0.25,177,0.25008042895442362,0.002165202973324537,2.5914282201244867,0.0052748260938794006,0.0020354899483289602,0.015051272136752114,0.99998705468901095
200,0.050000000000000003,x=0.50,353,0.50016085790884723,0.0019234011564823413,2.5913638779988117,0.0059353713992963504,0.0022904430557548552,0.016936408761557158,0.99999137456892351
200,0.050000000000000003,x=0.75,529,0.75024128686327074,0.0017477334422059724,2.5913189590102057,0.0065294344258769732,0.0025197339768513066,0.018631373616332346,0.99999474718055203
200,0.050000000000000003,x=1.00,705,1.0003217158176945,0.0016126574430697066,2.5912879469654859,0.0070737889072980788,0.0027298351445588292,0.020184510837914612,0.99999651473932116
200,0.050000000000000003,x=1.20,846,1.2006702412868633,0.0015243620792412742,2.5912696056993605,0.0074813781674436964,0.0028871477329062171,0.021347454765194705,0.99999706704947566
200,0.050000000000000003,x_safe,979,1.389651474530831,0.0014529977311043801,2.5912604107399102,0.0078464896393106043,0.0030280590892329934,0.022388507889904007,0.99999575098216098
200,0.050000000000000003,xt,33,0.04546916890080429,0.0024492274540827666,2.5915343760795642,0.0046652018910743982,0.001800169789038974,0.013311215591268808,0.99999695911917497
300,0.074999999999999997,x=0.25,177,0.25008042895442362,0.0021670092227857917,2.5914025355041943,0.0052749041452892827,0.0020355402424050554,0.015051650414290799,0.99998399666589344
300,0.074999999999999997,x=0.50,353,0.50016085790884723,0.0019269073534216004,2.5913277876671268,0.0059354096757038392,0.0022904897265225029,0.016936677286251419,0.99999148084768741
300,0.074999999999999997,x=0.75,529,0.75024128686327074,0.0017523982567013349,2.5912844290543662,0.0065294538256085487,0.0025197750398983925,0.018631566360733737,0.99999506970273455
300,0.074999999999999997,x=1.00,705,1.0003217158176945,0.0016181832442901216,2.5912547935811587,0.0070737980384594891,0.0027298735948244513,0.020184660403196931,0.99999671982838523
300,0.074999999999999997,x=1.20,846,1.2006702412868633,0.0015304917611731895,2.5912361347677795,0.0074813756945159848,0.0028871840717775606,0.021347565166968761,0.99999763937472919
300,0.074999999999999997,x_safe,979,1.389651474530831,0.001459630531720479,2.5912183729070559,0.0078464838087466422,0.0030281059638921008,0.022388656936294205,0.99999806909090738
300,0.074999999999999997,xt,33,0.04546916890080429,0.0024495268166093913,2.5915455068608115,0.0046652296452252637,0.0018001727667427091,0.013311283908602022,0.99999724007522983
400,0.10000000000000001,x=0.25,177,0.25008042895442362,0.0021652253355645733,2.5914085313504041,0.005275000936402441,0.002035572883467199,0.015052015313230263,0.99997559726264529
400,0.10000000000000001,x=0.50,353,0.50016085790884723,0.0019235393980846151,2.5913529079639588,0.0059354914395092096,0.0022904990753161289,0.016936906664323986,0.99998349218249172
400,0.10000000000000001,x=0.75,529,0.75024128686327074,0.001747926736580626,2.5913096598443994,0.0065295200073035133,0.0025197760454825735,0.018631743607267846,0.99999051404491868
400,0.10000000000000001,x=1.00,705,1.0003217158176945,0.0016129237537216435,2.5912775254498333,0.0070738505019075793,0.0027298698932989021,0.020184804070441601,0.99999470586093742
400,0.10000000000000001,x=1.20,846,1.2006702412868633,0.0015246299788184146,2.5912617443260593,0.0074814322786239751,0.0028871773741134597,0.021347703618158687,0.99999575572112909
400,0.10000000000000001,x_safe,979,1.389651474530831,0.0014532757359306647,2.5912572189663705,0.0078465619141679394,0.0030280907108472476,0.022388778605514775,0.99999400797316951
